amfi_code,alpha,beta
119094,0.0338,0.8826
149322,0.0235,0.9024
119095,0.0231,0.9904
119093,0.0172,0.9293
125497,0.0161,0.8912
118633,0.0131,0.9088
102887,0.0115,1.0246
148569,0.0112,1.0157
118634,0.0107,1.0035
118635,0.01,0.9864
119551,0.0096,0.9999
101207,0.0088,0.9092
120841,0.0087,0.9928
120842,0.006,0.9755
101208,0.005,0.9125
119599,0.004,1.0074
120844,0.0035,0.9459
119598,0.0025,0.9492
100025,0.001,0.9793
118636,0.0,1.029
118632,-0.0007,0.961
102886,-0.0009,0.9532
120507,-0.0013,1.0175
100016,-0.0013,1.0423
101206,-0.0022,0.9912
119092,-0.0031,1.0219
120503,-0.0054,1.0232
102885,-0.0069,1.0551
148568,-0.0074,1.069
120505,-0.0074,1.0215
120504,-0.0077,1.0378
149323,-0.0092,1.0003
125498,-0.0114,1.0895
119120,-0.0115,1.1955
119552,-0.0119,1.0332
148567,-0.0127,0.9878
120506,-0.0169,1.0818
120843,-0.0239,1.0569
149324,-0.0301,1.0492
100033,-0.056,1.1692
